"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 14:00:22 GMT 2025","Mon May 12 14:00:22 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon May 12 14:00:17 GMT 2025","Mon May 12 14:00:19 GMT 2025","1611","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon May 12 14:00:10 GMT 2025","Mon May 12 14:00:12 GMT 2025","1966","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon May 12 14:00:22 GMT 2025","Mon May 12 14:00:22 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Mon May 12 14:00:23 GMT 2025","Mon May 12 14:00:25 GMT 2025","1550","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon May 12 14:00:10 GMT 2025","Mon May 12 14:00:14 GMT 2025","3476","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon May 12 14:00:14 GMT 2025","Mon May 12 14:00:16 GMT 2025","1366","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon May 12 14:00:13 GMT 2025","Mon May 12 14:00:15 GMT 2025","2001","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon May 12 14:00:15 GMT 2025","Mon May 12 14:00:17 GMT 2025","1420","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon May 12 14:00:20 GMT 2025","Mon May 12 14:00:23 GMT 2025","2728","LMS system","Courses","Courses","","","Edit course",""
"passed","Mon May 12 14:00:22 GMT 2025","Mon May 12 14:00:22 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon May 12 14:00:22 GMT 2025","Mon May 12 14:00:22 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon May 12 14:00:22 GMT 2025","Mon May 12 14:00:22 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon May 12 14:00:19 GMT 2025","Mon May 12 14:00:22 GMT 2025","2426","LMS system","Courses","Courses","","","Create course",""
"passed","Mon May 12 14:00:22 GMT 2025","Mon May 12 14:00:22 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Mon May 12 14:00:18 GMT 2025","Mon May 12 14:00:19 GMT 2025","1485","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
